,,2023 Registered,2023 Detected,%Age Detection - 2023,2022 Registered,2022 Detected,%Age Detected 2022
Rape u/s 376 IPC (i) Minor,,586,578,99,614,585,95
(ii) Major,,387,355,92,370,327,88
Total Rape Cases,,973,933,96,984,912,93
Kidnapping of Women (i) Minor,,1157,1087,94,1155,1039,90
(ii) Major,,10,9,90,9,8,89
Total Kidnapping Cases,,1167,1096,94,1164,1047,90
Outraging Modesty of Women u/s 354 IPC,,2163,2054,95,2347,1955,83
Intended insult to Modesty of Women u/s 509 IPC.,,626,563,90,675,472,70
Dowry Prohibition Act.,,,,,,,
a) Dowry related murder u/s 302 IPC,,,,,,,
b) Dowry Death u/s 304-B IPC,,7,6,86,6,6,100
C) Dowry related suicides u/s 306 IPC,,13,13,100,21,17,81
D) Dowry related Mental/Physical Harrasment u/s 498-A IPC,,746,701,94,868,517,60
a) Murder due to other reasons u/s 302 IPC,,20,19,95,18,18,100
b) Suicides due to other reasons u/s 306 IPC,,18,14,78,15,13,87
c) Mental/Physical Harrasments due to other reasons u/s 498-A IPC,,173,164,95,34,19,56
Acid Attack (Section 326A IPC),,,,,1,1,100
No of cases registered Rape with POCSO,,586,578,99,615,585,95
No. of cases registered Molestation with POCSO,,495,478,97,489,441,90
No. of cases registered Eve-Teasing with POCSO,,20,20,100,28,19,68
Other IPC with POCSO,,7,7,100,23,18,78
PITA With POSCO (Excluding Rape),,,,,2,1,50
"Total of Crime Against Women Cases (Excl. col.
9)",,5913,5570,94,6156,4995,81
,,,,,,,
,,,,,,,
