date,ward_code,ward_name,crime_type,severity,ipc_section
2020-01-01,H/E,Bandra East,Assault,Low,IPC 313
2020-01-01,D,Malabar Hill,Assault,Medium,IPC 335
2020-01-01,F/N,Matunga,Burglary,High,IPC 362
2020-01-01,R/C,Borivali,Burglary,Medium,IPC 476
2020-01-01,L,Kurla,Theft,Medium,IPC 376
2020-01-01,H/E,Bandra East,Chain Snatching,Low,IPC 433
2020-01-01,L,Kurla,Theft,Medium,IPC 327
2020-01-01,G/N,Dharavi,Assault,High,IPC 442
2020-01-01,M/E,Govandi,Chain Snatching,High,IPC 477
2020-01-01,R/C,Borivali,Chain Snatching,Low,IPC 302
2020-01-01,M/E,Govandi,Theft,Medium,IPC 351
2020-01-01,R/C,Borivali,Extortion,High,IPC 389
2020-01-01,M/E,Govandi,Burglary,High,IPC 457
2020-01-01,F/N,Matunga,Chain Snatching,Medium,IPC 358
2020-01-01,H/E,Bandra East,Assault,High,IPC 311
2020-01-01,D,Malabar Hill,Theft,Low,IPC 496
2020-01-01,N,Ghatkopar,Extortion,Medium,IPC 341
2020-01-01,E,Byculla,Assault,Medium,IPC 499
2020-01-02,R/C,Borivali,Chain Snatching,High,IPC 435
2020-01-02,M/E,Govandi,Cyber Fraud,Medium,IPC 345
2020-01-02,D,Malabar Hill,Chain Snatching,High,IPC 447
2020-01-02,D,Malabar Hill,Extortion,Medium,IPC 439
2020-01-02,N,Ghatkopar,Chain Snatching,Medium,IPC 468
2020-01-02,M/E,Govandi,Burglary,High,IPC 347
2020-01-02,M/E,Govandi,Extortion,Medium,IPC 351
2020-01-02,R/C,Borivali,Cyber Fraud,Medium,IPC 496
2020-01-02,M/E,Govandi,Theft,High,IPC 394
2020-01-02,H/E,Bandra East,Extortion,Medium,IPC 446
2020-01-02,A,Colaba/Fort,Cyber Fraud,High,IPC 398
2020-01-03,D,Malabar Hill,Theft,Medium,IPC 373
2020-01-03,E,Byculla,Cyber Fraud,Low,IPC 478
2020-01-03,M/E,Govandi,Theft,High,IPC 330
2020-01-03,R/C,Borivali,Assault,Low,IPC 349
2020-01-03,L,Kurla,Chain Snatching,High,IPC 436
2020-01-03,F/N,Matunga,Assault,High,IPC 494
2020-01-03,N,Ghatkopar,Cyber Fraud,Medium,IPC 370
2020-01-03,A,Colaba/Fort,Burglary,Low,IPC 394
2020-01-03,G/N,Dharavi,Chain Snatching,High,IPC 371
2020-01-03,L,Kurla,Cyber Fraud,High,IPC 474
2020-01-03,D,Malabar Hill,Cyber Fraud,High,IPC 454
2020-01-03,H/E,Bandra East,Extortion,Low,IPC 387
2020-01-03,G/N,Dharavi,Assault,Medium,IPC 314
2020-01-03,A,Colaba/Fort,Burglary,High,IPC 434
2020-01-03,H/E,Bandra East,Cyber Fraud,Low,IPC 399
2020-01-03,N,Ghatkopar,Cyber Fraud,Medium,IPC 429
2020-01-03,D,Malabar Hill,Cyber Fraud,Medium,IPC 438
2020-01-04,E,Byculla,Assault,Medium,IPC 412
2020-01-04,H/E,Bandra East,Extortion,Medium,IPC 450
2020-01-04,L,Kurla,Chain Snatching,Medium,IPC 325
2020-01-04,R/C,Borivali,Extortion,High,IPC 414
2020-01-04,H/E,Bandra East,Chain Snatching,Low,IPC 395
2020-01-04,F/N,Matunga,Theft,High,IPC 341
2020-01-04,K/W,Andheri West,Extortion,Low,IPC 331
2020-01-04,E,Byculla,Assault,Medium,IPC 431
2020-01-04,K/W,Andheri West,Assault,Medium,IPC 305
2020-01-04,E,Byculla,Cyber Fraud,Medium,IPC 340
2020-01-04,E,Byculla,Extortion,Medium,IPC 437
2020-01-04,G/N,Dharavi,Extortion,High,IPC 343
2020-01-04,G/N,Dharavi,Assault,Low,IPC 420
2020-01-04,N,Ghatkopar,Cyber Fraud,Medium,IPC 412
2020-01-04,L,Kurla,Extortion,Low,IPC 363
2020-01-04,K/W,Andheri West,Burglary,High,IPC 317
2020-01-04,L,Kurla,Chain Snatching,Low,IPC 480
2020-01-04,H/E,Bandra East,Assault,High,IPC 347
2020-01-05,L,Kurla,Chain Snatching,Low,IPC 382
2020-01-05,F/N,Matunga,Theft,Low,IPC 404
2020-01-05,H/E,Bandra East,Theft,Low,IPC 448
2020-01-05,D,Malabar Hill,Assault,High,IPC 416
2020-01-05,K/W,Andheri West,Extortion,High,IPC 303
2020-01-05,D,Malabar Hill,Theft,Medium,IPC 347
2020-01-05,M/E,Govandi,Theft,Medium,IPC 500
2020-01-05,H/E,Bandra East,Chain Snatching,Medium,IPC 385
2020-01-05,N,Ghatkopar,Cyber Fraud,Medium,IPC 379
2020-01-05,N,Ghatkopar,Assault,High,IPC 314
2020-01-05,G/N,Dharavi,Cyber Fraud,High,IPC 450
2020-01-05,D,Malabar Hill,Assault,Low,IPC 347
2020-01-05,M/E,Govandi,Cyber Fraud,Medium,IPC 378
2020-01-06,N,Ghatkopar,Chain Snatching,High,IPC 484
2020-01-06,R/C,Borivali,Theft,Medium,IPC 340
