"Report Number","Date Reported","Date of Occurrence","Time of Occurrence","City","Crime Code","Crime Description","Victim Age","Victim Gender","Weapon Used","Crime Domain","Police Deployed","Case Closed","Date Case Closed"
"5","03-01-2020 12:00","01-01-2020 21:00","02-01-2020 10:11","Mumbai","374","VANDALISM","64","F","Knife","Other Crime","15","No",""
"6","04-01-2020 07:00","01-02-2020 19:00","03-01-2020 08:34","Mumbai","300","SEXUAL ASSAULT","44","M","Knife","Violent Crime","7","No",""
"14","06-01-2020 17:00","01-04-2020 13:00","05-01-2020 06:42","Mumbai","438","VANDALISM","22","M","Knife","Other Crime","5","No",""
"21","08-01-2020 19:00","01-08-2020 16:00","08-01-2020 17:27","Mumbai","151","FRAUD","67","F","Knife","Other Crime","19","No",""
"38","12-01-2020 14:00","01-11-2020 00:00","11-01-2020 00:34","Mumbai","402","COUNTERFEITING","35","F","Knife","Other Crime","17","No",""
"51","15-01-2020 07:00","01-14-2020 16:00","15-01-2020 02:16","Mumbai","187","ARSON","70","M","Knife","Fire Accident","7","No",""
"58","17-01-2020 10:00","01-15-2020 10:00","16-01-2020 09:08","Mumbai","236","DOMESTIC VIOLENCE","76","F","Knife","Violent Crime","14","No",""
"61","19-01-2020 05:00","01-17-2020 09:00","18-01-2020 04:19","Mumbai","524","CYBERCRIME","56","M","Knife","Other Crime","9","No",""
"62","19-01-2020 06:00","01-18-2020 15:00","19-01-2020 03:08","Mumbai","342","TRAFFIC VIOLATION","40","F","Knife","Traffic Fatality","19","No",""
"65","19-01-2020 22:00","01-17-2020 15:00","18-01-2020 09:27","Mumbai","120","TRAFFIC VIOLATION","67","F","Knife","Traffic Fatality","19","No",""
"68","20-01-2020 14:00","01-18-2020 03:00","18-01-2020 20:04","Mumbai","129","KIDNAPPING","46","M","Knife","Other Crime","17","No",""
"77","22-01-2020 09:00","01-19-2020 21:00","19-01-2020 21:25","Mumbai","192","CYBERCRIME","70","F","Knife","Other Crime","13","No",""
"85","24-01-2020 00:00","01-23-2020 10:00","23-01-2020 22:59","Mumbai","273","ILLEGAL POSSESSION","52","M","Knife","Other Crime","3","No",""
"90","24-01-2020 22:00","01-24-2020 16:00","25-01-2020 14:23","Mumbai","474","FIREARM OFFENSE","67","F","Knife","Fire Accident","13","No",""
"91","25-01-2020 06:00","01-23-2020 22:00","24-01-2020 20:11","Mumbai","262","ILLEGAL POSSESSION","61","F","Knife","Other Crime","3","No",""
"97","25-01-2020 23:00","01-24-2020 00:00","24-01-2020 16:52","Mumbai","377","ROBBERY","79","F","Knife","Violent Crime","9","No",""
"102","26-01-2020 13:00","01-26-2020 09:00","26-01-2020 10:59","Mumbai","232","EXTORTION","38","F","Knife","Other Crime","15","No",""
"112","29-01-2020 01:00","01-26-2020 02:00","26-01-2020 17:23","Mumbai","287","ROBBERY","41","F","Knife","Violent Crime","6","No",""
"119","30-01-2020 03:00","01-29-2020 16:00","30-01-2020 01:28","Mumbai","361","ARSON","62","M","Knife","Fire Accident","17","No",""
"121","30-01-2020 07:00","01-29-2020 11:00","30-01-2020 02:14","Mumbai","489","BURGLARY","24","F","Knife","Other Crime","5","No",""
"136","02-02-2020 13:00","02-02-2020 03:00","02-02-2020 14:41","Mumbai","543","VANDALISM","51","F","Knife","Other Crime","11","No",""
"151","05-02-2020 22:00","02-05-2020 10:00","06-02-2020 05:37","Mumbai","161","FIREARM OFFENSE","49","M","Knife","Fire Accident","1","No",""
"158","07-02-2020 05:00","02-06-2020 03:00","06-02-2020 05:16","Mumbai","545","VANDALISM","22","F","Knife","Other Crime","4","No",""
"160","07-02-2020 20:00","02-05-2020 15:00","06-02-2020 01:03","Mumbai","451","VANDALISM","38","F","Knife","Other Crime","13","No",""
"168","10-02-2020 19:00","02-07-2020 22:00","08-02-2020 21:04","Mumbai","376","BURGLARY","27","M","Knife","Other Crime","1","No",""
"173","12-02-2020 09:00","02-11-2020 09:00","12-02-2020 04:32","Mumbai","113","ASSAULT","72","F","Knife","Violent Crime","10","No",""
"181","14-02-2020 22:00","02-13-2020 14:00","14-02-2020 10:03","Mumbai","508","HOMICIDE","66","F","Knife","Other Crime","12","No",""
"195","19-02-2020 18:00","02-17-2020 09:00","17-02-2020 18:22","Mumbai","114","TRAFFIC VIOLATION","67","F","Knife","Traffic Fatality","11","No",""
"198","20-02-2020 06:00","02-18-2020 20:00","19-02-2020 19:57","Mumbai","360","FIREARM OFFENSE","31","F","Knife","Fire Accident","4","No",""
"214","23-02-2020 10:00","02-21-2020 01:00","21-02-2020 19:50","Mumbai","310","SHOPLIFTING","44","F","Knife","Other Crime","3","No",""
"223","25-02-2020 12:00","02-24-2020 14:00","24-02-2020 23:48","Mumbai","503","FIREARM OFFENSE","55","F","Knife","Fire Accident","10","No",""
"226","26-02-2020 09:00","02-24-2020 17:00","25-02-2020 00:30","Mumbai","564","FIREARM OFFENSE","22","M","Knife","Fire Accident","5","No",""
"239","28-02-2020 20:00","02-28-2020 13:00","29-02-2020 10:19","Mumbai","188","CYBERCRIME","21","F","Knife","Other Crime","1","No",""
"250","02-03-2020 05:00","03-01-2020 02:00","01-03-2020 05:07","Mumbai","468","KIDNAPPING","15","F","Knife","Other Crime","3","No",""
"253","02-03-2020 15:00","02-29-2020 20:00","01-03-2020 04:27","Mumbai","491","VEHICLE - STOLEN","38","F","Knife","Violent Crime","3","No",""
"263","05-03-2020 07:00","03-04-2020 19:00","05-03-2020 12:54","Mumbai","532","BURGLARY","60","F","Knife","Other Crime","10","No",""
"272","07-03-2020 16:00","03-07-2020 02:00","07-03-2020 12:31","Mumbai","202","VEHICLE - STOLEN","28","F","Knife","Violent Crime","17","No",""
"277","09-03-2020 16:00","03-08-2020 19:00","09-03-2020 07:38","Mumbai","372","ILLEGAL POSSESSION","15","M","Knife","Other Crime","15","No",""
"279","10-03-2020 15:00","03-10-2020 07:00","11-03-2020 04:37","Mumbai","330","KIDNAPPING","26","F","Knife","Other Crime","8","No",""
