timestamp,amount,bank,platform,fraud_type,upi_id,phishing_url
2024-01-01 00:00:00,20531,Kotak,PhonePe,Phishing Link,scammer729@okicici,http://verify-kyc-8948.com/login
2024-01-01 00:00:00,40248,ICICI,AmazonPay,QR Code Scam,scammer184@okicici,http://verify-kyc-2367.com/login
2024-01-01 00:00:00,7533,HDFC,PhonePe,QR Code Scam,scammer261@okicici,http://verify-kyc-5293.com/login
2024-01-01 00:00:00,4004,Kotak,GooglePay,QR Code Scam,scammer891@okicici,http://verify-kyc-6849.com/login
2024-01-01 00:00:00,25542,Axis,PhonePe,Fake Customer Care,scammer632@okicici,http://verify-kyc-7758.com/login
2024-01-02 00:00:00,40703,ICICI,GooglePay,QR Code Scam,scammer470@okicici,http://verify-kyc-9066.com/login
2024-01-02 00:00:00,27616,SBI,Paytm,QR Code Scam,scammer823@okicici,http://verify-kyc-6049.com/login
2024-01-02 00:00:00,6120,SBI,PhonePe,SIM Swap,scammer736@okicici,http://verify-kyc-5007.com/login
2024-01-02 00:00:00,3863,SBI,Paytm,Fake Customer Care,scammer246@okicici,http://verify-kyc-4014.com/login
2024-01-02 00:00:00,34334,HDFC,PhonePe,Phishing Link,scammer353@okicici,http://verify-kyc-9788.com/login
2024-01-02 00:00:00,15970,Kotak,AmazonPay,Fake Customer Care,scammer315@okicici,http://verify-kyc-4226.com/login
2024-01-03 00:00:00,27948,HDFC,Paytm,SIM Swap,scammer955@okicici,http://verify-kyc-3408.com/login
2024-01-03 00:00:00,45436,Axis,GooglePay,QR Code Scam,scammer216@okicici,http://verify-kyc-7542.com/login
2024-01-03 00:00:00,19532,Kotak,AmazonPay,OTP SMS,scammer306@okicici,http://verify-kyc-3516.com/login
2024-01-03 00:00:00,20892,Kotak,GooglePay,QR Code Scam,scammer583@okicici,http://verify-kyc-3761.com/login
2024-01-03 00:00:00,19396,Axis,AmazonPay,Fake Customer Care,scammer807@okicici,http://verify-kyc-1438.com/login
2024-01-03 00:00:00,40245,HDFC,PhonePe,SIM Swap,scammer361@okicici,http://verify-kyc-2615.com/login
2024-01-03 00:00:00,36215,ICICI,GooglePay,Fake Customer Care,scammer622@okicici,http://verify-kyc-4951.com/login
2024-01-03 00:00:00,41960,Axis,GooglePay,Fake Customer Care,scammer251@okicici,http://verify-kyc-4598.com/login
2024-01-04 00:00:00,17707,SBI,Paytm,Fake Customer Care,scammer269@okicici,http://verify-kyc-5630.com/login
2024-01-04 00:00:00,13790,SBI,GooglePay,OTP SMS,scammer393@okicici,http://verify-kyc-8997.com/login
2024-01-04 00:00:00,39855,Kotak,Paytm,Phishing Link,scammer576@okicici,http://verify-kyc-4539.com/login
2024-01-04 00:00:00,21363,Kotak,AmazonPay,OTP SMS,scammer988@okicici,http://verify-kyc-8452.com/login
2024-01-04 00:00:00,9258,HDFC,GooglePay,QR Code Scam,scammer438@okicici,http://verify-kyc-3262.com/login
2024-01-04 00:00:00,9785,Kotak,PhonePe,Fake Customer Care,scammer265@okicici,http://verify-kyc-3575.com/login
2024-01-04 00:00:00,26278,Kotak,PhonePe,QR Code Scam,scammer473@okicici,http://verify-kyc-4218.com/login
2024-01-04 00:00:00,13574,HDFC,AmazonPay,Fake Customer Care,scammer593@okicici,http://verify-kyc-7165.com/login
2024-01-04 00:00:00,16220,Kotak,Paytm,SIM Swap,scammer556@okicici,http://verify-kyc-7473.com/login
2024-01-04 00:00:00,44511,SBI,Paytm,QR Code Scam,scammer974@okicici,http://verify-kyc-4097.com/login
2024-01-04 00:00:00,31544,Axis,Paytm,OTP SMS,scammer900@okicici,http://verify-kyc-3794.com/login
2024-01-05 00:00:00,30701,HDFC,PhonePe,Phishing Link,scammer259@okicici,http://verify-kyc-1545.com/login
2024-01-05 00:00:00,43762,Axis,AmazonPay,SIM Swap,scammer946@okicici,http://verify-kyc-4901.com/login
2024-01-05 00:00:00,2709,Kotak,AmazonPay,Fake Customer Care,scammer987@okicici,http://verify-kyc-3235.com/login
2024-01-05 00:00:00,31492,SBI,PhonePe,Fake Customer Care,scammer138@okicici,http://verify-kyc-9320.com/login
2024-01-05 00:00:00,40706,HDFC,AmazonPay,OTP SMS,scammer354@okicici,http://verify-kyc-5194.com/login
2024-01-05 00:00:00,17067,Kotak,AmazonPay,Fake Customer Care,scammer124@okicici,http://verify-kyc-4733.com/login
2024-01-05 00:00:00,9466,ICICI,GooglePay,OTP SMS,scammer230@okicici,http://verify-kyc-8823.com/login
2024-01-05 00:00:00,23354,ICICI,AmazonPay,Phishing Link,scammer711@okicici,http://verify-kyc-3052.com/login
2024-01-05 00:00:00,33434,ICICI,GooglePay,Phishing Link,scammer332@okicici,http://verify-kyc-5641.com/login
2024-01-06 00:00:00,9044,SBI,GooglePay,QR Code Scam,scammer407@okicici,http://verify-kyc-4105.com/login
2024-01-06 00:00:00,31021,ICICI,AmazonPay,SIM Swap,scammer310@okicici,http://verify-kyc-6621.com/login
2024-01-06 00:00:00,31504,Axis,PhonePe,SIM Swap,scammer198@okicici,http://verify-kyc-7829.com/login
2024-01-06 00:00:00,37940,HDFC,PhonePe,QR Code Scam,scammer263@okicici,http://verify-kyc-6300.com/login
2024-01-06 00:00:00,25815,ICICI,AmazonPay,Fake Customer Care,scammer367@okicici,http://verify-kyc-8432.com/login
2024-01-07 00:00:00,5096,HDFC,AmazonPay,Phishing Link,scammer766@okicici,http://verify-kyc-3000.com/login
2024-01-07 00:00:00,43262,HDFC,AmazonPay,OTP SMS,scammer591@okicici,http://verify-kyc-1564.com/login
2024-01-07 00:00:00,35827,ICICI,GooglePay,SIM Swap,scammer915@okicici,http://verify-kyc-1949.com/login
2024-01-07 00:00:00,11340,SBI,Paytm,SIM Swap,scammer492@okicici,http://verify-kyc-7151.com/login
2024-01-07 00:00:00,47448,Kotak,PhonePe,QR Code Scam,scammer333@okicici,http://verify-kyc-7443.com/login
2024-01-07 00:00:00,27163,SBI,Paytm,Phishing Link,scammer920@okicici,http://verify-kyc-9894.com/login
2024-01-07 00:00:00,29642,ICICI,Paytm,Phishing Link,scammer460@okicici,http://verify-kyc-6919.com/login
2024-01-07 00:00:00,28789,Kotak,AmazonPay,Fake Customer Care,scammer342@okicici,http://verify-kyc-3464.com/login
2024-01-07 00:00:00,41160,Kotak,Paytm,SIM Swap,scammer747@okicici,http://verify-kyc-7017.com/login
2024-01-07 00:00:00,18853,ICICI,PhonePe,SIM Swap,scammer672@okicici,http://verify-kyc-6506.com/login
2024-01-07 00:00:00,40133,HDFC,Paytm,OTP SMS,scammer463@okicici,http://verify-kyc-1467.com/login
2024-01-08 00:00:00,11827,ICICI,AmazonPay,SIM Swap,scammer635@okicici,http://verify-kyc-6597.com/login
2024-01-08 00:00:00,2726,Axis,PhonePe,Fake Customer Care,scammer219@okicici,http://verify-kyc-6681.com/login
2024-01-08 00:00:00,40030,SBI,PhonePe,QR Code Scam,scammer181@okicici,http://verify-kyc-7663.com/login
2024-01-08 00:00:00,43894,Axis,PhonePe,Phishing Link,scammer743@okicici,http://verify-kyc-7625.com/login
2024-01-08 00:00:00,2319,HDFC,AmazonPay,QR Code Scam,scammer521@okicici,http://verify-kyc-7045.com/login
2024-01-08 00:00:00,37100,SBI,Paytm,QR Code Scam,scammer215@okicici,http://verify-kyc-7157.com/login
2024-01-08 00:00:00,42550,ICICI,Paytm,Phishing Link,scammer764@okicici,http://verify-kyc-9282.com/login
2024-01-08 00:00:00,16467,SBI,Paytm,OTP SMS,scammer104@okicici,http://verify-kyc-9208.com/login
2024-01-08 00:00:00,26306,HDFC,AmazonPay,Phishing Link,scammer442@okicici,http://verify-kyc-6921.com/login
2024-01-09 00:00:00,41563,ICICI,AmazonPay,OTP SMS,scammer992@okicici,http://verify-kyc-8077.com/login
2024-01-09 00:00:00,41062,ICICI,AmazonPay,QR Code Scam,scammer318@okicici,http://verify-kyc-5465.com/login
2024-01-09 00:00:00,31377,SBI,GooglePay,OTP SMS,scammer668@okicici,http://verify-kyc-8340.com/login
2024-01-09 00:00:00,6196,Kotak,GooglePay,OTP SMS,scammer867@okicici,http://verify-kyc-7827.com/login
2024-01-09 00:00:00,15555,Axis,AmazonPay,QR Code Scam,scammer877@okicici,http://verify-kyc-2048.com/login
2024-01-09 00:00:00,33064,Axis,Paytm,Fake Customer Care,scammer674@okicici,http://verify-kyc-2826.com/login
2024-01-09 00:00:00,13693,ICICI,GooglePay,Phishing Link,scammer985@okicici,http://verify-kyc-4253.com/login
2024-01-10 00:00:00,46231,HDFC,Paytm,SIM Swap,scammer556@okicici,http://verify-kyc-3452.com/login
2024-01-10 00:00:00,34303,SBI,AmazonPay,SIM Swap,scammer735@okicici,http://verify-kyc-9476.com/login
2024-01-10 00:00:00,12705,SBI,GooglePay,QR Code Scam,scammer951@okicici,http://verify-kyc-9462.com/login
2024-01-10 00:00:00,28789,Axis,AmazonPay,OTP SMS,scammer550@okicici,http://verify-kyc-5975.com/login
2024-01-10 00:00:00,48580,Kotak,GooglePay,QR Code Scam,scammer785@okicici,http://verify-kyc-1427.com/login
2024-01-10 00:00:00,9877,Kotak,AmazonPay,OTP SMS,scammer942@okicici,http://verify-kyc-5235.com/login
2024-01-10 00:00:00,24399,HDFC,AmazonPay,Fake Customer Care,scammer641@okicici,http://verify-kyc-6617.com/login
2024-01-10 00:00:00,35041,Axis,PhonePe,SIM Swap,scammer899@okicici,http://verify-kyc-1330.com/login
2024-01-10 00:00:00,26906,SBI,AmazonPay,OTP SMS,scammer343@okicici,http://verify-kyc-2786.com/login
2024-01-10 00:00:00,13574,Axis,Paytm,OTP SMS,scammer532@okicici,http://verify-kyc-8679.com/login
2024-01-10 00:00:00,49911,ICICI,Paytm,OTP SMS,scammer308@okicici,http://verify-kyc-4899.com/login
2024-01-11 00:00:00,14776,HDFC,AmazonPay,OTP SMS,scammer663@okicici,http://verify-kyc-8973.com/login
2024-01-11 00:00:00,2424,SBI,GooglePay,Phishing Link,scammer945@okicici,http://verify-kyc-9075.com/login
2024-01-11 00:00:00,48899,HDFC,GooglePay,Fake Customer Care,scammer684@okicici,http://verify-kyc-7470.com/login
2024-01-11 00:00:00,46074,SBI,Paytm,Fake Customer Care,scammer802@okicici,http://verify-kyc-8133.com/login
2024-01-11 00:00:00,30934,Axis,Paytm,Phishing Link,scammer298@okicici,http://verify-kyc-5493.com/login
2024-01-11 00:00:00,10571,Kotak,Paytm,OTP SMS,scammer887@okicici,http://verify-kyc-9907.com/login
2024-01-11 00:00:00,38607,SBI,GooglePay,OTP SMS,scammer159@okicici,http://verify-kyc-8892.com/login
2024-01-11 00:00:00,47178,HDFC,AmazonPay,SIM Swap,scammer180@okicici,http://verify-kyc-2015.com/login
2024-01-11 00:00:00,31779,HDFC,Paytm,QR Code Scam,scammer973@okicici,http://verify-kyc-1251.com/login
2024-01-11 00:00:00,37247,Axis,PhonePe,OTP SMS,scammer251@okicici,http://verify-kyc-4281.com/login
2024-01-11 00:00:00,10644,SBI,GooglePay,QR Code Scam,scammer210@okicici,http://verify-kyc-8394.com/login
2024-01-11 00:00:00,34946,Kotak,AmazonPay,QR Code Scam,scammer830@okicici,http://verify-kyc-3378.com/login
2024-01-11 00:00:00,47510,SBI,Paytm,QR Code Scam,scammer150@okicici,http://verify-kyc-3379.com/login
2024-01-12 00:00:00,12364,ICICI,GooglePay,QR Code Scam,scammer501@okicici,http://verify-kyc-5561.com/login
2024-01-12 00:00:00,18076,Kotak,AmazonPay,QR Code Scam,scammer566@okicici,http://verify-kyc-5654.com/login
2024-01-12 00:00:00,40240,Axis,AmazonPay,SIM Swap,scammer564@okicici,http://verify-kyc-7541.com/login
2024-01-12 00:00:00,3328,SBI,PhonePe,Fake Customer Care,scammer185@okicici,http://verify-kyc-4323.com/login
2024-01-12 00:00:00,41312,SBI,GooglePay,Phishing Link,scammer331@okicici,http://verify-kyc-8259.com/login
2024-01-12 00:00:00,43098,Axis,Paytm,OTP SMS,scammer222@okicici,http://verify-kyc-9446.com/login
2024-01-12 00:00:00,18265,Kotak,AmazonPay,OTP SMS,scammer966@okicici,http://verify-kyc-1849.com/login
2024-01-12 00:00:00,29022,Axis,GooglePay,Phishing Link,scammer682@okicici,http://verify-kyc-2915.com/login
2024-01-13 00:00:00,15566,HDFC,PhonePe,QR Code Scam,scammer811@okicici,http://verify-kyc-6920.com/login
